Time,Distance,Theta,LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori
0,400,-2.57594,5,-5,0,0,0.493261
0.333,400,-2.648332,5,5,1.466521,0.788378,0.493261
0.666,398.534259,-2.648332,5,-5,1.466521,0.788378,0.42087
0.999,398.534259,-2.720723,5,-5,1.466521,0.788378,0.348478
1.332,398.534259,-2.793114,-5,-5,-0.098401,0.219834,0.348478
1.665,400.098462,-2.793114,-5,-5,-1.663324,-0.34871,0.348478
1.998,401.663475,-2.793114,5,-5,-1.663324,-0.34871,0.276087
2.331,401.663475,-2.865506,5,-5,-1.663324,-0.34871,0.203696
2.664,401.663475,-2.937897,5,-5,-1.663324,-0.34871,0.131304
2.997,401.663475,-3.010288,5,-5,-1.663324,-0.34871,0.058913
3.33,401.663475,-3.08268,5,-5,-1.663324,-0.34871,-0.013478
3.663,401.663475,-3.155071,21.810941,22.282641,5.677591,-0.447659,-0.010064
3.996,394.322663,-3.151656,20.769629,21.367167,12.693012,-0.518261,-0.005738
4.329,387.307335,-3.147331,20.557523,21.286723,19.659964,-0.558237,-0.000459
4.662,380.340445,-3.142052,21.212926,20.751929,26.647112,-0.561445,-0.003796
4.995,373.35331,-3.145389,21.663016,22.183977,33.947583,-0.589161,-0.000025
5.328,366.052891,-3.141618,21.440469,20.656165,40.956673,-0.589336,-0.005703
5.661,359.043811,-3.147295,21.440867,21.96965,48.184406,-0.630554,-0.001875
5.994,351.816159,-3.143467,22.327376,21.895849,55.54756,-0.644359,-0.004999
6.327,344.453042,-3.146591,21.100428,21.845108,62.697903,-0.680101,0.000392
6.66,337.302783,-3.1412,21.657405,21.104899,69.817826,-0.677309,-0.003607
6.993,330.182869,-3.1452,22.347461,22.369309,77.26312,-0.704168,-0.003449
7.326,322.737649,-3.145042,21.032495,21.598212,84.36109,-0.728651,0.000646
7.659,315.639751,-3.140947,20.834123,20.956227,91.319182,-0.724157,0.00153
7.992,308.681667,-3.140063,21.061559,21.712036,98.440977,-0.713261,0.006239
8.325,301.559866,-3.135354,21.670279,21.132492,105.5675,-0.6688,0.002346
8.658,294.433259,-3.139247,20.74015,21.337318,112.573379,-0.652366,0.006669
8.991,287.427361,-3.134924,21.864754,22.308726,119.9281,-0.603319,0.009883
9.324,280.07255,-3.13171,21.386667,20.903698,126.969102,-0.533734,0.006386
9.657,273.03142,-3.135206,21.458727,21.930061,134.193188,-0.487598,0.009798
9.99,265.807259,-3.131794,22.758505,21.816781,141.614617,-0.414877,0.002981
10.323,258.385716,-3.138612,21.426782,21.554339,148.770942,-0.393543,0.003905
10.656,251.229367,-3.137688,21.709179,20.611583,155.817295,-0.36603,-0.004041
10.989,244.18298,-3.145634,22.059302,22.768739,163.281102,-0.396193,0.001095
11.322,236.719229,-3.140498,21.329748,21.505617,170.413186,-0.388386,0.002368
11.655,229.587142,-3.139225,20.885287,21.51171,177.472267,-0.371672,0.006902
11.988,222.528044,-3.13469,21.269376,21.279542,184.556493,-0.322772,0.006976
12.321,215.443749,-3.134617,21.242966,21.317305,191.642605,-0.273338,0.007514
12.654,208.357574,-3.134078,21.00867,21.338398,198.693193,-0.220357,0.009901
12.987,201.306927,-3.131691,21.045128,21.560188,205.786631,-0.150122,0.01363
13.32,194.213427,-3.127963,22.688557,20.97508,213.055951,-0.051037,0.001226
13.653,186.944056,-3.140367,21.078011,20.986884,220.059751,-0.042452,0.000566
13.986,179.940254,-3.141027,21.51978,22.435736,227.378343,-0.03831,0.007197
14.319,172.621661,-3.134396,22.274179,20.719577,234.536618,0.013207,-0.004057
14.652,165.463382,-3.14565,21.6576,22.528331,241.893515,-0.016642,0.002246
14.985,158.106486,-3.139347,21.161511,21.152353,248.938756,-0.000817,0.00218
15.318,151.061244,-3.139413,21.873391,21.066531,256.088236,0.014767,-0.003661
15.651,143.911765,-3.145254,21.91998,21.936962,263.390367,-0.011968,-0.003538
15.984,136.609633,-3.145131,21.857395,21.940463,270.682665,-0.03777,-0.002937
16.317,129.31734,-3.14453,20.581746,21.143295,277.629854,-0.058173,0.001128
16.65,122.37016,-3.140464,21.869987,20.721779,284.721379,-0.050172,-0.007184
16.983,115.278632,-3.148776,20.349446,22.249645,291.813944,-0.101124,0.006572
17.316,108.186103,-3.135021,21.315326,21.854522,299.001569,-0.053887,0.010475
17.649,100.998446,-3.131117,21.064661,21.550421,306.096591,0.020438,0.013992
17.982,93.903411,-3.127601,22.124724,20.168144,313.137664,0.118962,-0.000172
18.315,86.862417,-3.141765,21.411171,21.026538,320.203542,0.117746,-0.002957
18.648,79.796545,-3.144549,20.647388,21.642062,327.244705,0.096928,0.004244
18.981,72.75536,-3.137349,22.455737,21.697173,334.596098,0.128128,-0.001247
19.314,65.404027,-3.14284,20.699005,21.394394,341.604644,0.119386,0.003787
19.647,58.395478,-3.137806,21.685256,21.921006,348.865034,0.146879,0.005493
19.98,51.135177,-3.136099,22.694975,20.594261,356.072583,0.186473,-0.009714
20.313,43.927812,-3.151307,21.892608,21.919593,363.366971,0.115612,-0.009519
20.646,36.633212,-3.151111,21.409641,22.380709,370.657734,0.046212,-0.002489
20.979,29.342303,-3.144082,22.293157,20.764138,377.826751,0.028368,-0.013558
21.312,22.173267,-3.15515,21.204612,22.570234,385.114593,-0.070444,-0.003672
21.645,14.885573,-3.145264,21.782786,21.542584,392.328219,-0.096932,-0.005411
21.978,7.672393,-3.147003,20.482397,22.022636,399.405203,-0.135223,0.005739
22.311,0.609974,-3.135853,0,0,399.405203,-0.135223,0.005739
22.644,100.13699,-3.135853,-5,5,399.405203,-0.135223,0.078131
22.977,100.13699,-3.063462,-5,5,399.405203,-0.135223,0.150522
23.31,100.13699,-2.991071,-5,5,399.405203,-0.135223,0.222913
23.643,100.13699,-2.918679,-5,5,399.405203,-0.135223,0.295305
23.976,100.13699,-2.846288,-5,5,399.405203,-0.135223,0.367696
24.309,100.13699,-2.773897,-5,5,399.405203,-0.135223,0.440087
24.642,100.13699,-2.701506,-5,5,399.405203,-0.135223,0.512478
24.975,100.13699,-2.629114,-5,5,399.405203,-0.135223,0.58487
25.308,100.13699,-2.556723,-5,5,399.405203,-0.135223,0.657261
25.641,100.13699,-2.484332,-5,5,399.405203,-0.135223,0.729652
25.974,100.13699,-2.41194,-5,5,399.405203,-0.135223,0.802044
26.307,100.13699,-2.339549,-5,5,399.405203,-0.135223,0.874435
26.64,100.13699,-2.267158,-5,5,399.405203,-0.135223,0.946826
26.973,100.13699,-2.194766,-5,5,399.405203,-0.135223,1.019218
27.306,100.13699,-2.122375,5,5,400.277717,1.282854,1.019218
27.639,98.717536,-2.122375,-5,5,400.277717,1.282854,1.091609
27.972,98.717536,-2.049984,-5,5,400.277717,1.282854,1.164
28.305,98.717536,-1.977592,-5,-5,399.618928,-0.246271,1.164
28.638,100.246995,-1.977592,-5,5,399.618928,-0.246271,1.236391
28.971,100.246995,-1.905201,-5,5,399.618928,-0.246271,1.308783
29.304,100.246995,-1.83281,-5,5,399.618928,-0.246271,1.381174
29.637,100.246995,-1.760419,-5,5,399.618928,-0.246271,1.453565
29.97,100.246995,-1.688027,-5,5,399.618928,-0.246271,1.525957
30.303,100.246995,-1.615636,20.460449,22.712878,399.941144,6.934863,1.542262
30.636,93.065155,-1.59933,20.128692,21.733438,400.14,13.90207,1.553879
30.969,86.098043,-1.587713,21.953545,23.158501,400.26706,21.412151,1.562602
31.302,78.588302,-1.578991,22.094029,21.981425,400.327193,28.750468,1.561787
31.635,71.250283,-1.579806,20.167667,22.40707,400.391057,35.838874,1.577998
31.968,64.162318,-1.563594,22.513473,20.526305,400.339447,43.004811,1.563613
32.301,56.9962,-1.57798,21.616804,22.99071,400.392799,50.431771,1.573559
32.634,49.569786,-1.568034,21.542821,22.379552,400.372597,57.744818,1.579616
32.967,42.256825,-1.561977,22.573848,20.925233,400.30872,64.987133,1.567681
33.3,35.014228,-1.573911,20.521854,22.867421,400.331223,72.211413,1.584661
33.633,27.790561,-1.556931,20.936085,20.906207,400.234632,79.177485,1.584445
33.966,20.823837,-1.557148,21.073348,21.081637,400.138837,86.195636,1.584505
34.299,13.805062,-1.557088,21.777492,20.700379,400.041884,93.267537,1.576708
34.632,6.732593,-1.564885,21.416965,22.060143,399.999093,100.506349,1.581364
34.965,0.50635,-1.560229,0,0,399.999093,100.506349,1.581364
